Sigla;Código;Município;Renda familiar - per capita - média (1991);Alfabetizados - pessoas 15 anos e mais (1991);
BA;2919058;Lajedo do Tabocal;0,31;48,474;
BA;2919108;Lamarão;0,25;45,194;
BA;2919157;Lapão;0,39;63,035;
BA;2919207;Lauro de Freitas;1,25;80,428;
BA;2919306;Lençóis;0,47;60,557;
BA;2919405;Licínio de Almeida;0,37;62,378;
BA;2919504;Livramento de Nossa Senhora;0,47;57,282;
BA;2919553;Luís Eduardo Magalhães;;;
BA;2919603;Macajuba;0,28;47,932;
BA;2919702;Macarani;0,39;46,948;
BA;2919801;Macaúbas;0,3;40,086;
BA;2919900;Macururé;0,2;52,774;
BA;2919926;Madre de Deus;0,65;84,156;
BA;2919959;Maetinga;0,27;50,756;
BA;2920007;Maiquinique;0,32;50,27;
BA;2920106;Mairi;0,35;59,04;
BA;2920205;Malhada;0,22;47,241;
BA;2920304;Malhada de Pedras;0,38;44,285;
BA;2920403;Manoel Vitorino;0,24;47,759;
BA;2920452;Mansidão;0,21;58,815;
BA;2920502;Maracás;0,34;50,43;
BA;2920601;Maragogipe;0,39;52,023;
BA;2920700;Maraú;0,3;43,859;
BA;2920809;Marcionílio Souza;0,27;46,411;
BA;2920908;Mascote;0,29;47,626;
BA;2921005;Mata de São João;0,53;67,405;
BA;2921054;Matina;0,22;41,892;
BA;2921104;Medeiros Neto;0,61;57,834;
BA;2921203;Miguel Calmon;0,37;55,836;
BA;2921302;Milagres;0,41;60,433;
BA;2921401;Mirangaba;0,25;51,155;
BA;2921450;Mirante;0,36;48,054;
BA;2921500;Monte Santo;0,27;36,497;
BA;2921609;Morpará;0,29;52,832;
BA;2921708;Morro do Chapéu;0,42;59,07;
BA;2921807;Mortugaba;0,31;61,184;
BA;2921906;Mucugê;0,4;44,979;
BA;2922003;Mucuri;0,6;51,904;
BA;2922052;Mulungu do Morro;0,27;54,741;
BA;2922102;Mundo Novo;0,33;55,116;
BA;2922201;Muniz Ferreira;0,33;54,485;
BA;2922250;Muquém de São Francisco;0,25;43,93;
BA;2922300;Muritiba;0,44;67,39;
BA;2922409;Mutuípe;0,35;55,323;
BA;2922508;Nazaré;0,48;60,523;
BA;2922607;Nilo Peçanha;0,36;42,188;
BA;2922656;Nordestina;0,23;45,226;
BA;2922706;Nova Canaã;0,41;49,087;
BA;2922730;Nova Fátima;0,72;60,449;
BA;2922755;Nova Ibiá;0,35;42,217;
BA;2922805;Nova Itarana;0,26;40,486;
BA;2922854;Nova Redenção;0,29;52,11;
BA;2922904;Nova Soure;0,37;43,807;
BA;2923001;Nova Viçosa;0,62;57,516;
BA;2923035;Novo Horizonte;0,42;61,775;
BA;2923050;Novo Triunfo;0,21;41,957;
BA;2923100;Olindina;0,29;39,493;
BA;2923209;Oliveira dos Brejinhos;0,25;60,613;
BA;2923308;Ouriçangas;0,36;46,6;
BA;2923357;Ourolândia;0,31;37,466;
BA;2923407;Palmas de Monte Alto;0,34;44,707;
BA;2923506;Palmeiras;0,46;64,61;
BA;2923605;Paramirim;0,28;62,618;
BA;2923704;Paratinga;0,22;51,227;
BA;2923803;Paripiranga;0,54;51,106;
BA;2923902;Pau Brasil;0,36;47,032;
BA;2924009;Paulo Afonso;0,76;70,521;
BA;2924058;Pé de Serra;0,24;60,655;
BA;2924108;Pedrão;0,34;59,595;
BA;2924207;Pedro Alexandre;0,25;22,248;
BA;2924306;Piatã;0,25;58,142;
BA;2924405;Pilão Arcado;0,16;42,188;
BA;2924504;Pindaí;0,3;53,97;
BA;2924603;Pindobaçu;0,25;49,253;
BA;2924652;Pintadas;0,35;50,729;
BA;2924678;Piraí do Norte;0,35;33,352;
BA;2924702;Piripá;0,34;49,274;
BA;2924801;Piritiba;0,33;57,696;
BA;2924900;Planaltino;0,3;40,692;
BA;2925006;Planalto;0,32;45,734;
BA;2925105;Poções;0,4;52,052;
BA;2925204;Pojuca;0,71;75,063;
BA;2925253;Ponto Novo;0,21;45,74;
BA;2925303;Porto Seguro;0,65;65,038;
BA;2925402;Potiraguá;0,34;52,837;
BA;2925501;Prado;0,41;52,857;
BA;2925600;Presidente Dutra;0,35;68,147;
BA;2925709;Presidente Jânio Quadros;0,28;44,391;
BA;2925758;Presidente Tancredo Neves;0,26;39,613;
BA;2925808;Queimadas;0,3;52,442;
BA;2925907;Quijingue;0,21;32,909;
BA;2925931;Quixabeira;0,24;47,599;
BA;2925956;Rafael Jambeiro;0,32;47,139;
BA;2926004;Remanso;0,36;50,886;
BA;2926103;Retirolândia;0,3;61,485;
BA;2926202;Riachão das Neves;0,3;50,974;
BA;2926301;Riachão do Jacuípe;0,44;64,797;
BA;2926400;Riacho de Santana;0,3;48,923;
BA;2926509;Ribeira do Amparo;0,25;31,479;
BA;2926608;Ribeira do Pombal;0,49;49,659;
BA;2926657;Ribeirão do Largo;0,32;34,618;
BA;2926707;Rio de Contas;0,37;58,865;
BA;2926806;Rio do Antônio;0,28;49,619;
BA;2926905;Rio do Pires;0,33;56,59;
BA;2927002;Rio Real;0,52;52,738;
BA;2927101;Rodelas;0,69;66,557;
BA;2927200;Ruy Barbosa;0,4;54,692;
BA;2927309;Salinas da Margarida;0,36;71,501;
BA;2927408;Salvador;1,63;90,157;
BA;2927507;Santa Bárbara;0,35;52,99;
BA;2927606;Santa Brígida;0,29;33,091;
BA;2927705;Santa Cruz Cabrália;0,53;57,585;
BA;2927804;Santa Cruz da Vitória;0,28;52,419;
BA;2927903;Santa Inês;0,29;46,32;
BA;2928000;Santaluz;0,43;57,724;
BA;2928059;Santa Luzia;0,35;49,479;
BA;2928109;Santa Maria da Vitória;0,42;53,666;
BA;2928208;Santana;0,44;56,748;
BA;2928307;Santanópolis;0,27;54,069;
BA;2928406;Santa Rita de Cássia;0,28;58,034;
BA;2928505;Santa Teresinha;0,35;50,038;
BA;2928604;Santo Amaro;0,57;73,09;
BA;2928703;Santo Antônio de Jesus;0,67;72,258;
BA;2928802;Santo Estêvão;0,46;57,689;
BA;2928901;São Desidério;0,4;41,922;
BA;2928950;São Domingos;0,37;64,817;
BA;2929008;São Félix;0,47;62,674;
BA;2929057;São Félix do Coribe;0,39;56,167;
BA;2929107;São Felipe;0,36;54,596;
BA;2929206;São Francisco do Conde;0,46;71,122;
BA;2929255;São Gabriel;0,25;58,847;
BA;2929305;São Gonçalo dos Campos;0,41;61,568;
BA;2929354;São José da Vitória;0,23;50,153;
BA;2929370;São José do Jacuípe;0,34;48,467;
BA;2929404;São Miguel das Matas;0,39;55,817;
BA;2929503;São Sebastião do Passé;0,63;66,937;
BA;2929602;Sapeaçu;0,4;60,125;
BA;2929701;Sátiro Dias;0,27;45,611;
BA;2929750;Saubara;0,38;67,021;
BA;2929800;Saúde;0,28;52,282;
BA;2929909;Seabra;0,41;63,45;
BA;2930006;Sebastião Laranjeiras;0,58;51,675;
BA;2930105;Senhor do Bonfim;0,55;64,67;
BA;2930154;Serra do Ramalho;0,21;57,054;
BA;2930204;Sento Sé;0,28;49,284;
BA;2930303;Serra Dourada;0,25;53,216;
BA;2930402;Serra Preta;0,27;50,598;
BA;2930501;Serrinha;0,45;63,908;
BA;2930600;Serrolândia;0,31;55,712;
BA;2930709;Simões Filho;0,68;81,158;
BA;2930758;Sítio do Mato;0,25;50,781;
BA;2930766;Sítio do Quinto;0,41;33,411;
BA;2930774;Sobradinho;0,72;71,313;
BA;2930808;Souto Soares;0,23;65,434;
BA;2930907;Tabocas do Brejo Velho;0,22;44,831;
BA;2931004;Tanhaçu;0,38;44,227;
BA;2931053;Tanque Novo;0,31;45,933;
BA;2931103;Tanquinho;0,36;64,063;
BA;2931202;Taperoá;0,29;42,213;
BA;2931301;Tapiramutá;0,29;48,523;
